artifact_id,phase,run_id,filename,artifact_type,storage_location,sha256,bytes,immutable,contains_private_data,paper_usage
AR-0098,S3-E0,20260807T081017Z,00_prelock_provenance.json,prelock_provenance,repo:artifacts/jlens-s3-e0/20260807T081017Z,d58a4418c165392805d910ab5071f24ce0e4d5e3de75bdd7b9c676940eccd462,5092,yes,no,provenance
AR-0099,S3-E0,20260807T081017Z,j-space-observation-jlens-s3-e0 image,container_image,acr:acrjspaceobssea0708231738/j-space-observation-jlens-s3-e0@sha256:17d664e13d67d79d99e7bf521bce9b7aefa946d33e25ec5ebe4cc7bc0aeff6cc,17d664e13d67d79d99e7bf521bce9b7aefa946d33e25ec5ebe4cc7bc0aeff6cc,5735595405,yes,no,operational_provenance
AR-0100,S3-E0,20260807T081017Z,01_e0_lock.json,formal_execution_lock,repo:artifacts/jlens-s3-e0/20260807T081017Z,8417ec21a512f51dac094facd3e7769f0d00b8b8ee896a7e11aeb4a7acb44c1b,2561,yes,no,preregistration_lock
AR-0101,S3-E0,20260807T081017Z,02_lock_readback_receipt.json,lock_readback_receipt,repo:artifacts/jlens-s3-e0/20260807T081017Z,9d815466a3452c60983d9b242c058631d5f20520b39511bb5926f0cfa98991bf,1272,yes,no,provenance
AR-0102,S3-E0,20260807T081017Z,e0_item.jsonl,e0_item_rows,repo:artifacts/jlens-s3-e0/20260807T081017Z/output,698bfaa830c5f19c41a79ed4059d848464d09d47c73dede72eba678c2e45cfd4,250605,yes,no,primary
AR-0103,S3-E0,20260807T081017Z,e0_surface.jsonl,e0_surface_rows,repo:artifacts/jlens-s3-e0/20260807T081017Z/output,0b0c6d8393c8eb5ed4495b3d555790666ccd5381cb32313a911ed1f74f5f9a86,339433,yes,no,primary
AR-0104,S3-E0,20260807T081017Z,eligibility_split_manifest.json,eligibility_split_manifest,repo:artifacts/jlens-s3-e0/20260807T081017Z/output,aaa8ac7526824da3ea5bfe1e07508ccfbb490d939d32ca9105d7a39847ec89c1,1585,yes,no,primary
AR-0105,S3-E0,20260807T081017Z,artifact_manifest.jsonl,artifact_manifest,repo:artifacts/jlens-s3-e0/20260807T081017Z/output,6d11b09b39bbeead9b38fdb23be47a4247245fb55e6b6b665b817241519df60f,1726,yes,no,provenance
AR-0106,S3-E0,20260807T081017Z,03_e0_execution_receipt.json,execution_receipt,repo:artifacts/jlens-s3-e0/20260807T081017Z,677638604b92ac5d5fd8d2bbee9d8da225b189f01bde28fe7421cefac32b838f,906,yes,no,operational_evidence
AR-0107,S3-E0,20260807T081017Z,04_independent_verification_receipt.json,verification_receipt,repo:artifacts/jlens-s3-e0/20260807T081017Z,67777bb30ec9b1dfeaf5dc2c9510ff269942fb4560c48b0b4b29800d0d5f5ce4,2865,yes,no,primary
AR-0108,S3-E0,20260807T081017Z,05_terminal_receipt.json,terminal_receipt,repo:artifacts/jlens-s3-e0/20260807T081017Z,e7daad69a81377aba05be2617c07522d8d04552e594bc2cdc8318b057a83f218,6136,yes,no,primary
AR-0109,S3-E0,20260807T081017Z,06_independent_verifier.py,verification_source,repo:artifacts/jlens-s3-e0/20260807T081017Z,3415f6219616e46885140a651788ef557d1fd42d57e64b6e7b2585dd6b712733,20831,yes,no,validation_source
AR-0110,S3-E0,20260807T081017Z,07_azure_resource_inventory.json,azure_resource_inventory,repo:artifacts/jlens-s3-e0/20260807T081017Z,59e7a4f813b9dcfb5eac955e605dd72daaab4d9e5ea021f4c8c8916391cb0029,39771,yes,no,operational_provenance
