run_id,cell_id,task_family,difficulty_band,condition,n,correct,accuracy,ci_lower,ci_upper,truncation_rate,no_answer_rate,unresolved_labels,review_coverage_complete,classification,exclusion_reasons
20260725T170041Z,prompt_grounded_two_hop_factual|easy|visible_cot,prompt_grounded_two_hop_factual,easy,visible_cot,10,6,0.6,0.312674,0.83182,0.0,0.0,0,true,difficulty_boundary_excluded,accuracy_below_band_difficulty_boundary;insufficient_correct_count
20260725T170041Z,synthetic_relation|easy|r1_style_thinking,synthetic_relation,easy,r1_style_thinking,10,6,0.6,0.312674,0.83182,0.3,0.0,0,true,difficulty_boundary_excluded,accuracy_below_band_difficulty_boundary;insufficient_correct_count;truncation_rate_above_threshold
20260725T170041Z,synthetic_relation|medium|r1_style_thinking,synthetic_relation,medium,r1_style_thinking,10,5,0.5,0.236593,0.763407,0.1,0.0,0,true,difficulty_boundary_excluded,accuracy_below_band_difficulty_boundary;insufficient_correct_count
20260725T170041Z,wrong_cot_error_detection|medium|r1_style_thinking,wrong_cot_error_detection,medium,r1_style_thinking,10,3,0.3,0.107791,0.603222,0.0,0.3,0,true,difficulty_boundary_excluded,accuracy_below_band_difficulty_boundary;insufficient_correct_count;no_answer_rate_above_threshold
