run_id,cell_id,task_family,difficulty_band,condition,n,correct,accuracy,ci_lower,ci_upper,truncation_rate,no_answer_rate,unresolved_labels,review_coverage_complete,classification
20260725T170041Z,prompt_grounded_two_hop_factual|hard|r1_style_thinking,prompt_grounded_two_hop_factual,hard,r1_style_thinking,10,7,0.7,0.396778,0.892209,0.0,0.0,0,true,selected_headroom
20260725T170041Z,synthetic_relation|hard|r1_style_thinking,synthetic_relation,hard,r1_style_thinking,10,7,0.7,0.396778,0.892209,0.0,0.1,0,true,selected_headroom
