run_id,phase,track,metric,stratum,condition,n,numerator,denominator,value,ci_lower,ci_upper,threshold,passed,not_applicable_reason
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-001,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-002,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-003,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-004,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-005,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-006,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-007,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-008,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-009,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-010,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-011,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-012,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-013,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-014,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-015,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-016,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-017,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-018,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-019,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-020,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-021,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-022,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-023,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-024,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-fit-025,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-001,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-002,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-003,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-004,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-005,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-006,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-007,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-008,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-009,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,corpus_token_count,sat-heldout-010,corpus_registration,,,,32,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds,fit_a_direct,fit_a_direct,10,,,528.470321014,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds_per_prompt,fit_a_direct,fit_a_direct,10,528.470321014,10,52.8470321014,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_allocated_bytes,fit_a_direct,fit_a_direct,,,,3633504768,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_reserved_bytes,fit_a_direct,fit_a_direct,,,,3829399552,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,checkpoint_bytes,fit_a_direct,fit_a_direct,,,,28314032,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,lens_bytes,fit_a_direct,fit_a_direct,,,,28314032,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_a_direct::layer_6,fit_a_direct,,,,29.582572937,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_a_direct::layer_13,fit_a_direct,,,,37.9048118591,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_a_direct::layer_20,fit_a_direct,,,,52.0949745178,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds,fit_b_shard_1,fit_b_shard_1,10,,,527.929336742,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds_per_prompt,fit_b_shard_1,fit_b_shard_1,10,527.929336742,10,52.7929336742,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_allocated_bytes,fit_b_shard_1,fit_b_shard_1,,,,3633504768,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_reserved_bytes,fit_b_shard_1,fit_b_shard_1,,,,3829399552,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,checkpoint_bytes,fit_b_shard_1,fit_b_shard_1,,,,28314105,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,lens_bytes,fit_b_shard_1,fit_b_shard_1,,,,28314041,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_1::layer_6,fit_b_shard_1,,,,29.582572937,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_1::layer_13,fit_b_shard_1,,,,37.9048118591,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_1::layer_20,fit_b_shard_1,,,,52.0949745178,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds,fit_b_shard_2,fit_b_shard_2,10,,,526.071735259,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds_per_prompt,fit_b_shard_2,fit_b_shard_2,10,526.071735259,10,52.6071735259,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_allocated_bytes,fit_b_shard_2,fit_b_shard_2,,,,3633504768,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_reserved_bytes,fit_b_shard_2,fit_b_shard_2,,,,3829399552,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,checkpoint_bytes,fit_b_shard_2,fit_b_shard_2,,,,28314105,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,lens_bytes,fit_b_shard_2,fit_b_shard_2,,,,28314041,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_2::layer_6,fit_b_shard_2,,,,30.6325778961,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_2::layer_13,fit_b_shard_2,,,,37.5541992188,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_2::layer_20,fit_b_shard_2,,,,51.7442970276,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds,fit_b_shard_3,fit_b_shard_3,5,,,262.866008155,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds_per_prompt,fit_b_shard_3,fit_b_shard_3,5,262.866008155,5,52.573201631,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_allocated_bytes,fit_b_shard_3,fit_b_shard_3,,,,3633504768,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_reserved_bytes,fit_b_shard_3,fit_b_shard_3,,,,3829399552,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,checkpoint_bytes,fit_b_shard_3,fit_b_shard_3,,,,28314105,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,lens_bytes,fit_b_shard_3,fit_b_shard_3,,,,28314041,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_3::layer_6,fit_b_shard_3,,,,33.2312660217,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_3::layer_13,fit_b_shard_3,,,,40.8199462891,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_shard_3::layer_20,fit_b_shard_3,,,,52.5999069214,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_merged::layer_6,fit_b_merged,,,,27.7707614899,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_merged::layer_13,fit_b_merged,,,,37.1623191833,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,fit_b_merged::layer_20,fit_b_merged,,,,51.6271858215,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds,fit_b_merged,fit_b_merged,25,,,1316.86708016,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds_per_prompt,fit_b_merged,fit_b_merged,25,,,52.6746832062,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,merge_seconds,fit_b_merged,fit_b_merged,25,,,0.00803172199994,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,checkpoint_bytes,fit_b_merged,fit_b_merged,25,,,84942315,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,lens_bytes,fit_b_merged,fit_b_merged,25,,,28314032,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_reserved_bytes,fit_b_merged,fit_b_merged,25,,,3829399552,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_allocated_bytes,fit_b_merged,fit_b_merged,25,,,3633504768,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,weighted_recombination_vs_direct_max_abs,all,weighted_recombination_vs_direct,25,,,0,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_repeatability_max_abs,all,fit_repeatability,10,,,0,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds,control_shard_1,control_shard_1,3,,,157.783193028,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds_per_prompt,control_shard_1,control_shard_1,3,157.783193028,3,52.594397676,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_allocated_bytes,control_shard_1,control_shard_1,,,,3633504768,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_reserved_bytes,control_shard_1,control_shard_1,,,,3829399552,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,checkpoint_bytes,control_shard_1,control_shard_1,,,,28314123,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,lens_bytes,control_shard_1,control_shard_1,,,,28314059,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,control_shard_1::layer_6,control_shard_1,,,,39.6459884644,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,control_shard_1::layer_13,control_shard_1,,,,44.0308189392,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,control_shard_1::layer_20,control_shard_1,,,,54.0119628906,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds,control_shard_2,control_shard_2,2,,,105.811865099,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,fit_wall_clock_seconds_per_prompt,control_shard_2,control_shard_2,2,105.811865099,2,52.9059325495,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_allocated_bytes,control_shard_2,control_shard_2,,,,3633504768,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,gpu_peak_reserved_bytes,control_shard_2,control_shard_2,,,,3829399552,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,checkpoint_bytes,control_shard_2,control_shard_2,,,,28314123,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,lens_bytes,control_shard_2,control_shard_2,,,,28314059,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,control_shard_2::layer_6,control_shard_2,,,,37.7937965393,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,control_shard_2::layer_13,control_shard_2,,,,43.5693511963,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,matrix_norm,control_shard_2::layer_20,control_shard_2,,,,53.5784492493,,,,,
20260725T122016Z,phase05-jlens-saturation,track-a,shard_merge_vs_direct_max_abs,all,shard_merge_vs_direct,5,,,2.38418579102e-07,,,1e-05,true,
20260725T122016Z,phase05-jlens-saturation,track-a,shard_merge_vs_direct_relative_frobenius,all,shard_merge_vs_direct,5,,,4.86150495776e-08,,,1e-06,true,
20260725T122016Z,phase05-jlens-saturation,track-a,convergence_relative_frobenius_10_vs_25,all,convergence_10_vs_25,25,,,0.417010116226,,,0.1,false,
20260725T122016Z,phase05-jlens-saturation,track-a,convergence_cosine_10_vs_25,all,convergence_10_vs_25,25,,,0.920481309276,,,0.99,false,
